date,open,close,high,low,volume,money
2005/4/8,984.66,1003.45,1003.7,979.53,1476252600,9151349808
2005/4/11,1003.88,995.42,1008.74,992.77,1593606600,10436232248
2005/4/12,993.71,978.7,993.71,978.2,1022619300,6479563495
2005/4/13,987.95,1000.9,1006.5,987.95,1607168700,10029602129
2005/4/14,1004.64,986.98,1006.42,985.58,1294571000,7813424514
2005/4/15,982.61,974.08,982.61,971.93,1040895500,6541675456
2005/4/18,970.91,963.77,970.91,958.65,859840000,5329138712
2005/4/19,962.92,965.89,968.87,957.91,921262300,5768907755
2005/4/20,964.15,950.87,964.15,946.2,885070500,5300003714
2005/4/21,948.86,943.98,955.55,938.6,994614500,6140646108
2005/4/22,942.91,939.1,947.91,934.96,1069188400,6373550345
2005/4/25,935.99,930.07,935.99,920.16,1147047800,6667303132
2005/4/26,928.43,937.08,939.7,924.65,1169047100,7029373085
2005/4/27,938.57,926.6,938.91,925.9,1078061100,6432845906
2005/4/28,923.53,942.07,945.5,914.83,1434348600,8315813742
2005/4/29,940.81,932.39,942.45,929.81,1123541900,6853192443
2005/5/9,934.65,909.17,937.39,909.17,852911500,4889696446
2005/5/10,905.54,913.08,913.39,892.31,1049433100,5960910722
2005/5/11,911.84,901.85,917.22,900.44,904204700,5128333208
2005/5/12,899.97,885.82,900.06,883.51,1022872000,6107327165
2005/5/13,883.5,887.54,898.5,875.58,1124490600,6228419643
2005/5/16,885.39,875.27,885.39,869.33,822428800,4630088469
2005/5/17,873.08,881.46,888.28,868.21,877227300,4635198616
2005/5/18,881.14,883.2,890.4,871.82,787861000,4615409280
2005/5/19,882.84,884.17,888.02,871.29,814958300,4263472583
2005/5/20,883.51,882.76,891.02,879.18,722667600,3835476288
2005/5/23,880.28,863.34,880.28,862.1,727979500,3725791093
2005/5/24,861.2,868.46,871.77,855.59,920692900,4777971875
2005/5/25,867.66,868.45,876.3,861.66,723855600,3742173189
2005/5/26,867.76,857.33,872.84,854.96,662278600,3470051082
2005/5/27,855.6,849.51,864.96,848.4,774998300,4240678764
2005/5/30,847.63,855.61,858.46,842.1,697158300,3712116331
2005/5/31,856.56,855.95,863.2,853.29,704782100,3601006687
2005/6/1,855.21,837.53,857.66,836.04,790230200,4274074912
2005/6/2,835.47,818.38,835.49,812.99,950865700,5220786229
2005/6/3,816.55,818.03,823.86,807.97,793605600,4164754479
2005/6/6,816.73,839,839.15,807.78,900918500,4685006534
2005/6/7,841.58,837.28,858.09,835.18,1306706800,7248577634
2005/6/8,848.54,905.77,908.83,844.47,3290783900,17414544247
2005/6/9,907.57,912.6,925.37,895.04,3314184000,17782386004
2005/6/10,911.94,894.56,911.94,889.1,2239150200,12006754528
2005/6/13,895,892.96,900.18,877.69,1562800200,7944060172
2005/6/14,895.39,883.54,905.41,882.86,1434357000,7692070462
2005/6/15,881.21,866.83,881.25,865.14,1145405600,6272310250
